Title,Spatial Coverage,Bounding Box
Stereogram No. 1 - D. H. Day State Park,Michigan--Leelanau County,"['-86.1564335', '44.774431', '-85.5268431', '45.4914405']"
Stereogram No. 10 - Morgan School,Illinois--Union County,"['-89.5218954', '37.331116', '-89.041199', '37.600773']"
Stereogram No. 101 - Devil's Tower,Wyoming--Crook County,"['-105.0894282', '44.1761639', '-104.05456', '45.0001751']"
"Stereogram No. 102 - Mt.Tavurur, New Britain",Papua New Guinea--East New Britain Province,"['150.6', '-6.2562194', '154', '-4']"
Stereogram No. 103 - Ohio River Lock and Dam,Illinois--Livingston County,"['-88.9314066', '40.6165535', '-88.2348458', '41.114227']"
Stereogram No. 105 - MT. Capulin,New Mexico--Union County,"['-104.0090907', '35.7394329', '-103.0022266', '37.0000868']"
Stereogram No. 106 - Brigantine Inlet,New Jersey--Atlantic County,"['-74.985223', '39.2620501', '-74.2318151', '39.729909']"
Stereogram No. 107 - Gazelle Peninsula,Papua New Guinea--East New Britain Province,"['150.6', '-6.2562194', '154', '-4']"
Stereogram No. 108 - Cove Mountain,Pennsylvania--Perry County,"['-77.67181', '40.1855284', '-76.9121876', '40.628418']"
Stereogram No. 109 - Teardrop,Wisconsin--Fond du Lac County,"['-88.8860006', '43.542896', '-88.159737', '43.938759']"
